code,symbol,name,industry
002433,,太安堂,中成药
300218,,安利股份,塑料
300403,,汉宇集团,家用电器
603726,,朗迪集团,机械基件
300087,,荃银高科,种植业
000551,,创元科技,专用机械
600191,,华资实业,食品
002093,,国脉科技,电信运营
688036,,传音控股,通信设备
600228,,ST昌九,化工原料
600883,,博闻科技,水泥
300439,,美康生物,医疗保健
000862,,银星能源,新型电力
603662,,柯力传感,电器仪表
300153,,科泰电源,电气设备
601231,,环旭电子,元器件
002605,,姚记科技,文教休闲
600064,,南京高科,园区开发
603663,,三祥新材,矿物制品
300134,,大富科技,通信设备
000411,,英特集团,医药商业
603157,,拉夏贝尔,服饰
000062,,深圳华强,批发业
002852,,道道全,食品
300745,,欣锐科技,汽车配件
002708,,光洋股份,汽车配件
002022,,科华生物,医疗保健
002745,,木林森,半导体
002580,,圣阳股份,电气设备
000972,,ST中基,食品
300139,,晓程科技,元器件
002631,,德尔未来,家居用品
002329,,皇氏集团,乳制品
002328,,新朋股份,汽车配件
002309,,中利集团,电气设备
600777,,新潮能源,石油开采
000517,,荣安地产,区域地产
300655,,晶瑞股份,化工原料
000488,,晨鸣纸业,造纸
002343,,慈文传媒,影视音像
000797,,中国武夷,全国地产
603277,,银都股份,专用机械
600895,,张江高科,园区开发
600548,,深高速,路桥
600160,,巨化股份,化工原料
600243,,青海华鼎,机床制造
600110,,诺德股份,电气设备
002777,,久远银海,软件服务
002570,,贝因美,乳制品
002455,,百川股份,化工原料
000958,,东方能源,火力发电
601515,,东风股份,广告包装
002365,,永安药业,化学制药
600546,,山煤国际,煤炭开采
000727,,华东科技,元器件
600446,,金证股份,软件服务
603693,,江苏新能,新型电力
002649,,博彦科技,软件服务
600258,,首旅酒店,酒店餐饮
002674,,兴业科技,纺织
000680,,山推股份,工程机械
300788,,中信出版,出版业
601162,,天风证券,证券
600513,,联环药业,化学制药
000802,,北京文化,影视音像
600086,,东方金钰,服饰
002150,,通润装备,机械基件
000837,,秦川机床,机床制造
300397,,天和防务,通信设备
601038,,一拖股份,农用机械
603629,,利通电子,元器件
603358,,华达科技,汽车配件
603876,,鼎胜新材,铝
002615,,哈尔斯,家居用品
300373,,扬杰科技,半导体
002489,,浙江永强,家居用品
002420,,*ST毅昌,塑料
002338,,奥普光电,电器仪表
600885,,宏发股份,电气设备
002770,,科迪乳业,乳制品
002429,,兆驰股份,家用电器
002039,,黔源电力,水力发电
002798,,帝欧家居,家居用品
002547,,春兴精工,通信设备
002792,,通宇通讯,通信设备
300701,,森霸传感,元器件
300716,,国立科技,塑料
000953,,*ST河化,农药化肥
600846,,同济科技,建筑工程
600277,,亿利洁能,综合类
002666,,德联集团,化工原料
000852,,石化机械,化工机械
002353,,杰瑞股份,化工机械
600926,,杭州银行,银行
600233,,圆通速递,仓储物流
601878,,浙商证券,证券
601798,,ST蓝科,化工机械
300696,,爱乐达,航空
600025,,华能水电,水力发电
300408,,三环集团,元器件
002372,,伟星新材,其他建材
600098,,广州发展,火力发电
300169,,天晟新材,塑料
600981,,汇鸿集团,商贸代理
600833,,第一医药,医药商业
600823,,世茂股份,全国地产
002154,,报 喜 鸟,服饰
603505,,金石资源,矿物制品
002111,,威海广泰,航空
601918,,新集能源,煤炭开采
600125,,铁龙物流,铁路
002701,,奥瑞金,广告包装
000532,,华金资本,多元金融
600449,,宁夏建材,水泥
000989,,九 芝 堂,中成药
601811,,新华文轩,出版业
600022,,山东钢铁,普钢
600360,,华微电子,半导体
600668,,尖峰集团,水泥
603519,,立霸股份,家用电器
300027,,华谊兄弟,影视音像
603813,,原尚股份,仓储物流
600185,,格力地产,区域地产
600769,,祥龙电业,建筑工程
300733,,西菱动力,汽车配件
600645,,中源协和,生物制药
002415,,海康威视,电器仪表
603869,,新智认知,软件服务
300719,,安达维尔,航空
600273,,嘉化能源,化工原料
